"Year (time)","Geographic Area Name (NAME)","Meaning of Survey Component (SVY_COMP_LABEL)","Aggregate Description (AGG_DESC)","Meaning of Aggregate Description (AGG_DESC_LABEL)","Type of Government (GOVTYPE)","Meaning of Type of Government (GOVTYPE_LABEL)","Amount (AMOUNT)","Coefficent of Variation for Amount (percent) (AMOUNT_CV)"
"2023","United States","Annual Survey of State and Local Finance","LF0052","Revenue - General Revenue - From Own Sources - Current Charges - Parks and Recreation","001","State and Local","13,950,515","1.10"
"2023","United States","Annual Survey of State and Local Finance","LF0053","Revenue - General Revenue - From Own Sources - Current Charges - Housing and Community Development","001","State and Local","8,654,739","1.20"
"2023","United States","Annual Survey of State and Local Finance","LF0054","Revenue - General Revenue - From Own Sources - Current Charges - Sewerage","001","State and Local","75,870,321","1.30"
"2023","United States","Annual Survey of State and Local Finance","LF0055","Revenue - General Revenue - From Own Sources - Current Charges - Solid Waste Management","001","State and Local","23,276,069","1.50"
"2023","United States","Annual Survey of State and Local Finance","LF0056","Revenue - General Revenue - From Own Sources - Current Charges - Miscellaneous Commercial Activities","001","State and Local","5,955,566","0.50"
"2023","United States","Annual Survey of State and Local Finance","LF0057","Revenue - General Revenue - From Own Sources - Current Charges - Other Charges","001","State and Local","96,286,541","1.50"
"2023","United States","Annual Survey of State and Local Finance","LF0058","Revenue - General Revenue - From Own Sources - Total Miscellaneous General Revenue","001","State and Local","338,868,390","0.40"
"2023","United States","Annual Survey of State and Local Finance","LF0059","Revenue - General Revenue - From Own Sources - Miscellaneous General Revenue - Interest Earnings","001","State and Local","82,424,178","0.10"
"2023","United States","Annual Survey of State and Local Finance","LF0060","Revenue - General Revenue - From Own Sources - Miscellaneous General Revenue - Special Assessments","001","State and Local","15,810,148","3.20"
"2023","United States","Annual Survey of State and Local Finance","LF0061","Revenue - General Revenue - From Own Sources - Miscellaneous General Revenue - Sale of Property","001","State and Local","5,497,178","1.70"
"2023","United States","Annual Survey of State and Local Finance","LF0062","Revenue - General Revenue - From Own Sources - Miscellaneous General Revenue - Fines and Forfeits","001","State and Local","15,139,542","1.70"
"2023","United States","Annual Survey of State and Local Finance","LF0063","Revenue - General Revenue - From Own Sources - Miscellaneous General Revenue - Rents","001","State and Local","5,623,848","1.10"
"2023","United States","Annual Survey of State and Local Finance","LF0064","Revenue - General Revenue - From Own Sources - Miscellaneous General Revenue - Royalties","001","State and Local","10,282,789","0.20"
"2023","United States","Annual Survey of State and Local Finance","LF0065","Revenue - General Revenue - From Own Sources - Miscellaneous General Revenue - Donations From Private Sources","001","State and Local","35,304,373","0.30"
"2023","United States","Annual Survey of State and Local Finance","LF0066","Revenue - General Revenue - From Own Sources - Miscellaneous General Revenue - Net Lottery Revenue","001","State and Local","34,865,189","0.00"
"2023","United States","Annual Survey of State and Local Finance","LF0067","Revenue - General Revenue - From Own Sources - Miscellaneous General Revenue -Other General Revenue","001","State and Local","133,921,146","0.80"
"2023","United States","Annual Survey of State and Local Finance","LF0068","Revenue - Utility Revenue - Total","001","State and Local","206,870,860","0.70"
"2023","United States","Annual Survey of State and Local Finance","LF0069","Revenue - Utility Revenue - Water Supply","001","State and Local","86,018,931","1.70"
"2023","United States","Annual Survey of State and Local Finance","LF0070","Revenue - Utility Revenue - Electric Power","001","State and Local","99,523,590","0.30"
"2023","United States","Annual Survey of State and Local Finance","LF0071","Revenue - Utility  Revenue - Gas Supply","001","State and Local","9,132,345","0.80"
"2023","United States","Annual Survey of State and Local Finance","LF0072","Revenue - Utility Revenue - Transit","001","State and Local","12,195,995","0.70"
"2023","United States","Annual Survey of State and Local Finance","LF0073","Revenue - Liquor Stores","001","State and Local","13,733,690","0.20"
"2023","United States","Annual Survey of State and Local Finance","LF0074","Insurance Trust Revenue - Total","001","State and Local","442,931,415","0.20"
"2023","United States","Annual Survey of State and Local Finance","LF0075","Insurance Trust Revenue - Unemployment Compensation - Total","001","State and Local","65,620,945","0.00"
"2023","United States","Annual Survey of State and Local Finance","LF0076","Insurance Trust Revenue - Unemployment Compensation - Contributions","001","State and Local","40,313,429","0.00"
"2023","United States","Annual Survey of State and Local Finance","LF0077","Insurance Trust Revenue - Unemployment Compensation - Interest Credited by US Government","001","State and Local","975,090","0.00"
"2023","United States","Annual Survey of State and Local Finance","LF0078","Insurance Trust Revenue - Unemployment Compensation - Federal Advances and Contributions","001","State and Local","24,332,426","0.00"
"2023","United States","Annual Survey of State and Local Finance","LF0079","Insurance Trust Revenue - Employee Retirement - Total","001","State and Local","351,264,766","0.20"
"2023","United States","Annual Survey of State and Local Finance","LF0080","Insurance Trust Revenue - Employee Retirement - Earnings on Investments","001","State and Local","109,259,275","0.10"
"2023","United States","Annual Survey of State and Local Finance","LF0081","Insurance Trust Revenue - Employee Retirement - Gains/Losses on Investments","001","State and Local","83,792,490","1.00"
"2023","United States","Annual Survey of State and Local Finance","LF0082","Insurance Trust Revenue - Employee Retirement - Employee Contributions","001","State and Local","68,691,192","0.20"
"2023","United States","Annual Survey of State and Local Finance","LF0083","Insurance Trust Revenue - Employee Retirement - Contributions From Other Governments","001","State and Local","655,571","4.10"
"2023","United States","Annual Survey of State and Local Finance","LF0084","Insurance Trust Revenue - Employee Retirement - Contributions From Local Governments","001","State and Local","88,866,237","0.00"
"2023","United States","Annual Survey of State and Local Finance","LF0085","Insurance Trust Revenue - Workers Compensation - Total Revenue","001","State and Local","14,516,457","0.00"
"2023","United States","Annual Survey of State and Local Finance","LF0086","Insurance Trust Revenue - Workers Compensation - Contributions","001","State and Local","11,510,172","0.00"
"2023","United States","Annual Survey of State and Local Finance","LF0087","Insurance Trust Revenue - Workers Compensation - Earnings on Investments","001","State and Local","3,006,285","0.00"
"2023","United States","Annual Survey of State and Local Finance","LF0088","Insurance Trust Revenue - Workers Compensation - Other Insurance Trust Revenue","001","State and Local","11,529,247","0.00"
"2023","United States","Annual Survey of State and Local Finance","LF0089","Expenditure - Total","001","State and Local","4,696,962,790","0.10"
"2023","United States","Annual Survey of State and Local Finance","LF0090","Expenditure - Total General Expenditure","001","State and Local","4,456,822,497","0.10"
"2023","United States","Annual Survey of State and Local Finance","LF0091","Expenditure - Intergovernmental Expenditure","001","State and Local","4,128,170","0.00"
"2023","United States","Annual Survey of State and Local Finance","LF0092","Expenditure - Total Direct Expenditure","001","State and Local","4,692,834,620","0.10"
"2023","United States","Annual Survey of State and Local Finance","LF0093","Expenditure - Direct Expenditure - Current Operations","001","State and Local","4,015,053,176","0.10"
"2023","United States","Annual Survey of State and Local Finance","LF0094","Expenditure - Direct Expenditure - Capital Outlay","001","State and Local","498,104,457","0.40"
"2023","United States","Annual Survey of State and Local Finance","LF0097","Expenditure - Direct Expenditure - Assistance and Subsidies","001","State and Local","59,417,869","0.00"
"2023","United States","Annual Survey of State and Local Finance","LF0098","Expenditure - Direct Expenditure - Interest on Debt","001","State and Local","120,259,118","0.20"
"2023","United States","Annual Survey of State and Local Finance","LF0100","Exhibit: Salaries and Wages","001","State and Local","1,198,632,119","0.10"
"2023","United States","Annual Survey of State and Local Finance","LF0101","Expenditure - Total Direct Expenditure by Function","001","State and Local","4,692,834,620","0.10"
"2023","United States","Annual Survey of State and Local Finance","LF0102","Expenditure - Direct Expenditure - Total General Expenditure","001","State and Local","4,381,063,991","0.10"
"2023","United States","Annual Survey of State and Local Finance","LF0103","Expenditure - Direct Expenditure - General Expenditure - Current Operations","001","State and Local","3,791,085,294","0.10"
"2023","United States","Annual Survey of State and Local Finance","LF0104","Expenditure - Direct Expenditure - General Expenditure - Capital Outlay","001","State and Local","426,474,122","0.50"
"2023","United States","Annual Survey of State and Local Finance","LF0105","Expenditure - Direct Expenditure - General Expenditure - Other","001","State and Local","163,504,576","0.10"
"2023","United States","Annual Survey of State and Local Finance","LF0106","Expenditure - Direct Expenditure - General Expenditure - Education - Total Expenditure","001","State and Local","1,366,868,934","0.10"
"2023","United States","Annual Survey of State and Local Finance","LF0107","Expenditure - Direct Expenditure - General Expenditure - Education - Education - Current Operations","001","State and Local","1,172,590,345","0.10"
"2023","United States","Annual Survey of State and Local Finance","LF0108","Expenditure - Direct Expenditure - General Expenditure - Education - Education - Capital Outlay","001","State and Local","134,860,720","0.10"
"2023","United States","Annual Survey of State and Local Finance","LF0109","Expenditure - Direct Expenditure - General Expenditure - Education - Higher Education - Total Expenditure","001","State and Local","365,672,487","0.00"
"2023","United States","Annual Survey of State and Local Finance","LF0110","Expenditure - Direct Expenditure - General Expenditure - Education - Higher Education - Current Operations","001","State and Local","329,454,820","0.00"
"2023","United States","Annual Survey of State and Local Finance","LF0111","Expenditure - Direct Expenditure - General Expenditure - Education - Higher Education - Capital Outlay","001","State and Local","36,217,666","0.00"
"2023","United States","Annual Survey of State and Local Finance","LF0112","Expenditure - Direct Expenditure - General Expenditure - Education - Elementary & Secondary Education - Total Expenditures","001","State and Local","913,955,968","0.10"
"2023","United States","Annual Survey of State and Local Finance","LF0113","Expenditure - Direct Expenditure - General Expenditure - Education - Elementary & Secondary Education - Current Operations","001","State and Local","815,977,038","0.10"
"2023","United States","Annual Survey of State and Local Finance","LF0114","Expenditure - Direct Expenditure - General Expenditure - Education - Elementary & Secondary Education - Capital Outlay","001","State and Local","97,978,930","0.20"
"2023","United States","Annual Survey of State and Local Finance","LF0115","Expenditure - Direct Expenditure - General Expenditure - Education - Other Education - Total Expenditures","001","State and Local","87,240,480","0.00"
"2023","United States","Annual Survey of State and Local Finance","LF0116","Expenditure - Direct Expenditure - General Expenditure - Education - Other Education - Current Operations","001","State and Local","27,158,487","0.00"
"2023","United States","Annual Survey of State and Local Finance","LF0117","Expenditure - Direct Expenditure - General Expenditure - Education - Other Education - Capital Outlay","001","State and Local","664,124","0.00"
"2023","United States","Annual Survey of State and Local Finance","LF0118","Expenditure - Direct Expenditure - General Expenditure - Education - Scholarships & Other Subsidies","001","State and Local","59,417,869","0.00"
"2023","United States","Annual Survey of State and Local Finance","LF0119","Expenditure - Direct Expenditure - General Expenditure - Libraries - Total Expenditures","001","State and Local","15,113,185","1.50"
"2023","United States","Annual Survey of State and Local Finance","LF0120","Expenditure - Direct Expenditure - General Expenditure - Libraries - Current Operations","001","State and Local","13,439,616","1.50"
"2023","United States","Annual Survey of State and Local Finance","LF0121","Expenditure - Direct Expenditure - General Expenditure - Libraries - Capital Outlay","001","State and Local","1,673,569","6.50"
"2023","United States","Annual Survey of State and Local Finance","LF0122","Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Total Expenditure","001","State and Local","1,053,362,201","0.00"
"2023","United States","Annual Survey of State and Local Finance","LF0123","Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Current Operations","001","State and Local","1,051,699,632","0.00"
"2023","United States","Annual Survey of State and Local Finance","LF0124","Expenditure - Direct Expenditure - General Expenditure - Public Welfare - Capital Outlay","001","State and Local","1,662,569","0.70"
"2023","United States","Annual Survey of State and Local Finance","LF0128","Expenditure - Direct Expenditure - General Expenditure - Hospitals - Total Expenditure","001","State and Local","285,565,891","0.10"
"2023","United States","Annual Survey of State and Local Finance","LF0129","Expenditure - Direct Expenditure - General Expenditure - Hospitals - Current Operations","001","State and Local","273,702,300","0.10"
"2023","United States","Annual Survey of State and Local Finance","LF0130","Expenditure - Direct Expenditure - General Expenditure - Hospitals - Capital Outlay","001","State and Local","11,863,591","0.50"
"2023","United States","Annual Survey of State and Local Finance","LF0131","Expenditure - Direct Expenditure - General Expenditure - Health - Total Expenditure","001","State and Local","153,869,337","0.20"
"2023","United States","Annual Survey of State and Local Finance","LF0132","Expenditure - Direct Expenditure - General Expenditure - Health - Current Operations","001","State and Local","150,997,162","0.20"
"2023","United States","Annual Survey of State and Local Finance","LF0133","Expenditure - Direct Expenditure - General Expenditure - Health - Capital Outlay","001","State and Local","2,872,175","1.70"
"2023","United States","Annual Survey of State and Local Finance","LF0134","Expenditure - Direct Expenditure - General Expenditure - Social Insurance Administration - Total Expenditure","001","State and Local","5,363,567","0.00"
"2023","United States","Annual Survey of State and Local Finance","LF0135","Expenditure - Direct Expenditure - General Expenditure - Social Insurance Administration - Current Operations","001","State and Local","5,326,462","0.00"
"2023","United States","Annual Survey of State and Local Finance","LF0136","Expenditure - Direct Expenditure - General Expenditure - Social Insurance Administration - Capital Outlay","001","State and Local","37,105","0.00"
"2023","United States","Annual Survey of State and Local Finance","LF0137","Expenditure - Direct Expenditure - General Expenditure - Veterans Services - Total Expenditures","001","State and Local","1,779,166","0.00"
"2023","United States","Annual Survey of State and Local Finance","LF0138","Expenditure - Direct Expenditure - General Expenditure - Veterans Services - Current Operations","001","State and Local","788,452","0.00"
"2023","United States","Annual Survey of State and Local Finance","LF0139","Expenditure - Direct Expenditure - General Expenditure - Veterans Services - Capital Outlay","001","State and Local","990,714","0.00"
"2023","United States","Annual Survey of State and Local Finance","LF0140","Expenditure - Direct Expenditure - General Expenditure - Highways - Total Expenditures","001","State and Local","236,312,656","0.30"
"2023","United States","Annual Survey of State and Local Finance","LF0141","Expenditure - Direct Expenditure - General Expenditure - Highways - Current Operations","001","State and Local","102,898,704","0.40"
"2023","United States","Annual Survey of State and Local Finance","LF0142","Expenditure - Direct Expenditure - General Expenditure - Highways - Capital Outlay","001","State and Local","133,413,952","0.40"
"2023","United States","Annual Survey of State and Local Finance","LF0143","Expenditure - Direct Expenditure - General Expenditure - Air Transportation (Airports) - Total Expenditures","001","State and Local","33,869,450","0.30"
"2023","United States","Annual Survey of State and Local Finance","LF0144","Expenditure - Direct Expenditure - General Expenditure - Air Transportation (Airports) - Current Operations","001","State and Local","18,660,279","0.50"
"2023","United States","Annual Survey of State and Local Finance","LF0145","Expenditure - Direct Expenditure - General Expenditure - Air Transportation (Airports) - Capital Outlay","001","State and Local","15,209,171","0.20"
"2023","United States","Annual Survey of State and Local Finance","LF0146","Expenditure - Direct Expenditure - General Expenditure - Parking Facilities - Total Expenditure","001","State and Local","2,175,505","2.00"
"2023","United States","Annual Survey of State and Local Finance","LF0147","Expenditure - Direct Expenditure - General Expenditure - Parking Facilities - Current Operations","001","State and Local","1,992,970","2.10"
"2023","United States","Annual Survey of State and Local Finance","LF0148","Expenditure - Direct Expenditure - General Expenditure - Parking Facilities - Capital Outlay","001","State and Local","182,535","0.90"
"2023","United States","Annual Survey of State and Local Finance","LF0149","Expenditure - Direct Expenditure - General Expenditure - Sea and Inland Port Facilities - Total Expenditure","001","State and Local","8,081,189","0.20"
"2023","United States","Annual Survey of State and Local Finance","LF0150","Expenditure - Direct Expenditure - General Expenditure - Sea and Inland Port Facilities - Current Operations","001","State and Local","5,253,597","0.40"
"2023","United States","Annual Survey of State and Local Finance","LF0151","Expenditure - Direct Expenditure - General Expenditure - Sea and Inland Port Facilities - Capital Outlay","001","State and Local","2,827,592","0.30"
"2023","United States","Annual Survey of State and Local Finance","LF0152","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Total Expenditure","001","State and Local","151,606,015","1.40"
"2023","United States","Annual Survey of State and Local Finance","LF0153","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","001","State and Local","144,312,746","1.40"
"2023","United States","Annual Survey of State and Local Finance","LF0154","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay","001","State and Local","7,293,269","1.70"
"2023","United States","Annual Survey of State and Local Finance","LF0155","Expenditure - Direct Expenditure - General Expenditure - Fire Protection - Total Expenditure","001","State and Local","69,172,224","1.90"
"2023","United States","Annual Survey of State and Local Finance","LF0156","Expenditure - Direct Expenditure - General Expenditure - Fire Protection - Current Operations","001","State and Local","64,493,561","2.10"
"2023","United States","Annual Survey of State and Local Finance","LF0157","Expenditure - Direct Expenditure - General Expenditure - Fire Protection - Capital Outlay","001","State and Local","4,678,663","3.70"
"2023","United States","Annual Survey of State and Local Finance","LF0158","Expenditure - Direct Expenditure - General Expenditure - Correction - Total Expenditure","001","State and Local","98,428,306","0.10"
"2023","United States","Annual Survey of State and Local Finance","LF0159","Expenditure - Direct Expenditure - General Expenditure - Correction - Current Operations","001","State and Local","95,584,175","0.10"
"2023","United States","Annual Survey of State and Local Finance","LF0160","Expenditure - Direct Expenditure - General Expenditure - Correction - Capital Outlay","001","State and Local","2,844,132","1.40"
"2023","United States","Annual Survey of State and Local Finance","LF0161","Expenditure - Direct Expenditure - General Expenditure - Protective Inspection & Regulation - Total Expenditure","001","State and Local","20,262,444","0.50"
"2023","United States","Annual Survey of State and Local Finance","LF0162","Expenditure - Direct Expenditure - General Expenditure - Protective Inspection & Regulation - Current Operations","001","State and Local","20,045,657","0.50"
"2023","United States","Annual Survey of State and Local Finance","LF0163","Expenditure - Direct Expenditure - General Expenditure - Protective Inspection & Regulation - Capital Outlay","001","State and Local","216,787","1.50"
"2023","United States","Annual Survey of State and Local Finance","LF0164","Expenditure - Direct Expenditure - General Expenditure - Natural Resources - Total Expenditure","001","State and Local","48,303,510","2.80"
"2023","United States","Annual Survey of State and Local Finance","LF0165","Expenditure - Direct Expenditure - General Expenditure - Natural Resources - Current Operations","001","State and Local","38,546,926","0.70"
"2023","United States","Annual Survey of State and Local Finance","LF0166","Expenditure - Direct Expenditure - General Expenditure - Natural Resources - Capital Outlay","001","State and Local","9,756,584","13.80"
"2023","United States","Annual Survey of State and Local Finance","LF0167","Expenditure - Direct Expenditure - General Expenditure - Parks and Recreation - Total Expenditure","001","State and Local","58,424,538","0.90"
"2023","United States","Annual Survey of State and Local Finance","LF0168","Expenditure - Direct Expenditure - General Expenditure - Parks and Recreation - Current Operations","001","State and Local","45,264,741","0.80"
"2023","United States","Annual Survey of State and Local Finance","LF0169","Expenditure - Direct Expenditure - General Expenditure - Parks and Recreation - Capital Outlay","001","State and Local","13,159,797","2.60"
"2023","United States","Annual Survey of State and Local Finance","LF0170","Expenditure - Direct Expenditure - General Expenditure - Housing and Community Development - Total Expenditure","001","State and Local","77,429,935","0.40"
"2023","United States","Annual Survey of State and Local Finance","LF0171","Expenditure - Direct Expenditure - General Expenditure - Housing and Community Development - Current Operations","001","State and Local","69,480,974","0.40"
"2023","United States","Annual Survey of State and Local Finance","LF0172","Expenditure - Direct Expenditure - General Expenditure - Housing and Community Development - Capital Outlay","001","State and Local","7,948,961","2.40"
"2023","United States","Annual Survey of State and Local Finance","LF0173","Expenditure - Direct Expenditure - General Expenditure - Sewerage - Total Expenditure","001","State and Local","78,646,642","1.90"
"2023","United States","Annual Survey of State and Local Finance","LF0174","Expenditure - Direct Expenditure - General Expenditure - Sewerage - Current Operations","001","State and Local","49,745,068","1.10"
"2023","United States","Annual Survey of State and Local Finance","LF0175","Expenditure - Direct Expenditure - General Expenditure - Sewerage - Capital Outlay","001","State and Local","28,901,574","4.70"
"2023","United States","Annual Survey of State and Local Finance","LF0176","Expenditure - Direct Expenditure - General Expenditure - Solid Waste Management - Total Expenditure","001","State and Local","32,564,149","1.20"
"2023","United States","Annual Survey of State and Local Finance","LF0177","Expenditure - Direct Expenditure - General Expenditure - Solid Waste Management - Current Operations","001","State and Local","30,199,519","1.30"
"2023","United States","Annual Survey of State and Local Finance","LF0178","Expenditure - Direct Expenditure - General Expenditure - Solid Waste Management - Capital Outlay","001","State and Local","2,364,630","1.90"
"2023","United States","Annual Survey of State and Local Finance","LF0179","Expenditure - Direct Expenditure - General Expenditure - Financial Administration - Total Expenditure","001","State and Local","95,709,488","0.20"
"2023","United States","Annual Survey of State and Local Finance","LF0180","Expenditure - Direct Expenditure - General Expenditure - Financial Administration - Current Operations","001","State and Local","93,830,177","0.20"
"2023","United States","Annual Survey of State and Local Finance","LF0181","Expenditure - Direct Expenditure - General Expenditure - Financial Administration - Capital Outlay","001","State and Local","1,879,312","1.00"
"2023","United States","Annual Survey of State and Local Finance","LF0182","Expenditure - Direct Expenditure - General Expenditure - Judicial and Legal - Total Expenditure","001","State and Local","62,661,716","0.20"
